No.,Description,Type,Day school candidates - Male,Day school candidates - Female,Day school candidates - Total,All candidates - Male,All candidates - Female,All candidates - Total
1,No. of candidates,Number,20698,19968,40666,25558,23468,49026
2,Core subjects at 332A or better,Number,8364,10012,18376,8781,10481,19262
3,Core subjects at 332A or better,Percentage,40.4%,50.1%,45.2%,34.4%,44.7%,39.3%
4,"Core subjects at 332A or better, with one elective at level 2+#",Number,8340,9976,18316,8744,10438,19182
5,"Core subjects at 332A or better, with one elective at level 2+#",Percentage,40.3%,50.0%,45.0%,34.2%,44.5%,39.1%
6,"Core subjects at 332A or better, with two electives at level 2+#",Number,8084,9616,17700,8436,10019,18455
7,"Core subjects at 332A or better, with two electives at level 2+#",Percentage,39.1%,48.2%,43.5%,33.0%,42.7%,37.6%
8,"Core subjects at 332A or better, with one elective at level 3+#",Number,8123,9489,17612,8510,9912,18422
9,"Core subjects at 332A or better, with one elective at level 3+#",Percentage,39.2%,47.5%,43.3%,33.3%,42.2%,37.6%
10,"Core subjects at 332A or better, with two electives at level 3+#",Number,7356,8336,15692,7666,8672,16338
11,"Core subjects at 332A or better, with two electives at level 3+#",Percentage,35.5%,41.7%,38.6%,30.0%,37.0%,33.3%
12,"Core subjects at 333A or better, with one elective at level 3+#",Number,7636,8511,16147,7996,8894,16890
13,"Core subjects at 333A or better, with one elective at level 3+#",Percentage,36.9%,42.6%,39.7%,31.3%,37.9%,34.5%
14,"Core subjects at 333A or better, with two electives at level 3+#",Number,7039,7695,14734,7333,8011,15344
15,"Core subjects at 333A or better, with two electives at level 3+#",Percentage,34.0%,38.5%,36.2%,28.7%,34.1%,31.3%
16,"Core subjects at 332A or better, with one elective at level 4+#",Number,6810,7497,14307,7119,7821,14940
17,"Core subjects at 332A or better, with one elective at level 4+#",Percentage,32.9%,37.5%,35.2%,27.9%,33.3%,30.5%
18,"Core subjects at 332A or better, with two electives at level 4+#",Number,5201,5262,10463,5404,5487,10891
19,"Core subjects at 332A or better, with two electives at level 4+#",Percentage,25.1%,26.4%,25.7%,21.1%,23.4%,22.2%
20,"Core subjects at 332A or better, with one elective at level 5+",Number,4020,3616,7636,4207,3772,7979
21,"Core subjects at 332A or better, with one elective at level 5+",Percentage,19.4%,18.1%,18.8%,16.5%,16.1%,16.3%
22,"Core subjects at 332A or better, with two electives at level 5+",Number,2424,1897,4321,2523,1965,4488
23,"Core subjects at 332A or better, with two electives at level 5+",Percentage,11.7%,9.5%,10.6%,9.9%,8.4%,9.2%
24,"Core subjects at 332A or better, with Mathematics Extended Part at level 2+ and one elective at level 2+#",Number,3156,1941,5097,3313,2074,5387
25,"Core subjects at 332A or better, with Mathematics Extended Part at level 2+ and one elective at level 2+#",Percentage,15.2%,9.7%,12.5%,13.0%,8.8%,11.0%
26,"Core subjects at 332A or better, with Mathematics Extended Part at level 3+ and one elective at level 2+#",Number,2890,1689,4579,3034,1798,4832
27,"Core subjects at 332A or better, with Mathematics Extended Part at level 3+ and one elective at level 2+#",Percentage,14.0%,8.5%,11.3%,11.9%,7.7%,9.9%
28,"Core subjects at 332A or better, with Mathematics Extended Part at level 3+ and one elective at level 3+#",Number,2878,1675,4553,3021,1783,4804
29,"Core subjects at 332A or better, with Mathematics Extended Part at level 3+ and one elective at level 3+#",Percentage,13.9%,8.4%,11.2%,11.8%,7.6%,9.8%
