No.,Description,Type,"Day school candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development (Chinese Language, English Language, Mathematics Compulsory Part and two elective subjects) - Male","Day school candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development (Chinese Language, English Language, Mathematics Compulsory Part and two elective subjects) - Female","Day school candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development (Chinese Language, English Language, Mathematics Compulsory Part and two elective subjects) - Total","Day school candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development (Any five subjects#) - Male","Day school candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development (Any five subjects#) - Female","Day school candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development (Any five subjects#) - Total"
1,No. of candidates,Number,17592,17895,35487,17592,17895,35487
2,Total grade points 12 – 14 in the best five subjects,Number,403,763,1166,400,754,1154
3,Total grade points 12 – 14 in the best five subjects,Percentage,2.3%,4.3%,3.3%,2.3%,4.2%,3.3%
4,Total grade points 15 – 17 in the best five subjects,Number,1764,2324,4088,1720,2283,4003
5,Total grade points 15 – 17 in the best five subjects,Percentage,10.0%,13.0%,11.5%,9.8%,12.8%,11.3%
6,Total grade points 18 – 20 in the best five subjects,Number,2332,2832,5164,2189,2746,4935
7,Total grade points 18 – 20 in the best five subjects,Percentage,13.3%,15.8%,14.6%,12.4%,15.3%,13.9%
8,Total grade points 21 – 23 in the best five subjects,Number,1749,1916,3665,1715,1917,3632
9,Total grade points 21 – 23 in the best five subjects,Percentage,9.9%,10.7%,10.3%,9.7%,10.7%,10.2%
10,Total grade points 24 – 26 in the best five subjects,Number,1007,995,2002,1021,1019,2040
11,Total grade points 24 – 26 in the best five subjects,Percentage,5.7%,5.6%,5.6%,5.8%,5.7%,5.7%
12,Total grade points 27 – 29 in the best five subjects,Number,542,516,1058,604,530,1134
13,Total grade points 27 – 29 in the best five subjects,Percentage,3.1%,2.9%,3.0%,3.4%,3.0%,3.2%
14,Total grade points 30 – 32 in the best five subjects,Number,232,214,446,302,276,578
15,Total grade points 30 – 32 in the best five subjects,Percentage,1.3%,1.2%,1.3%,1.7%,1.5%,1.6%
16,Total grade points 33 – 35 in the best five subjects,Number,55,56,111,133,91,224
17,Total grade points 33 – 35 in the best five subjects,Percentage,0.3%,0.3%,0.3%,0.8%,0.5%,0.6%
