No.,Total no. of subjects at top levels / grades#,Candidates with the corresponding results in Category A/B/C subjects - No. of Male,Candidates with the corresponding results in Category A/B/C subjects - % of Male,Candidates with the corresponding results in Category A/B/C subjects - No. of Female,Candidates with the corresponding results in Category A/B/C subjects - % of Female,Candidates with the corresponding results in Category A/B/C subjects - Total No.,Candidates with the corresponding results in Category A/B/C subjects - Total %,Candidates with the corresponding results in Category A subjects - No. of Male,Candidates with the corresponding results in Category A subjects - % of Male,Candidates with the corresponding results in Category A subjects - No. of Female,Candidates with the corresponding results in Category A subjects - % of Female,Candidates with the corresponding results in Category A subjects - Total No.,Candidates with the corresponding results in Category A subjects - Total %
1,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,6,9,0.0,2,0.0,11,0.0,9,0.0,2,0.0,11,0.0
3,5,21,0.1,15,0.1,36,0.1,21,0.1,14,0.1,35,0.1
4,4,53,0.3,37,0.2,90,0.2,52,0.3,38,0.2,90,0.2
5,3,106,0.6,55,0.3,161,0.4,104,0.6,52,0.3,156,0.4
6,2,185,1.0,181,1.0,366,1.0,174,0.9,151,0.8,325,0.9
7,1,924,4.9,1135,6.0,2059,5.5,663,3.5,621,3.3,1284,3.4
8,0,17583,93.1,17445,92.4,35028,92.8,17858,94.6,17992,95.3,35850,95.0
9,Total,18881,100.0,18870,100.0,37751,100.0,18881,100.0,18870,100.0,37751,100.0
