No.,Description,Type,Day school candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development - Male,Day school candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development - Female,Day school candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development - Total,All candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development - Male,All candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development - Female,All candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development - Total
1,No. of candidates,Number,17592,17895,35487,18934,19065,37999
2,Total grade points 8 – 11 in the best five subjects,Number,41,70,111,44,76,120
3,Total grade points 8 – 11 in the best five subjects,Percentage,0.2%,0.4%,0.3%,0.2%,0.4%,0.3%
4,Total grade points 12 – 14 in the best five subjects,Number,468,888,1356,496,940,1436
5,Total grade points 12 – 14 in the best five subjects,Percentage,2.7%,5.0%,3.8%,2.6%,4.9%,3.8%
6,Total grade points 15 – 17 in the best five subjects,Number,1734,2300,4034,1824,2380,4204
7,Total grade points 15 – 17 in the best five subjects,Percentage,9.9%,12.9%,11.4%,9.6%,12.5%,11.1%
8,Total grade points 18 – 20 in the best five subjects,Number,2190,2750,4940,2283,2870,5153
9,Total grade points 18 – 20 in the best five subjects,Percentage,12.4%,15.4%,13.9%,12.1%,15.1%,13.6%
10,Total grade points 21 – 23 in the best five subjects,Number,1716,1917,3633,1781,1991,3772
11,Total grade points 21 – 23 in the best five subjects,Percentage,9.8%,10.7%,10.2%,9.4%,10.4%,9.9%
12,Total grade points 24 – 26 in the best five subjects,Number,1021,1019,2040,1071,1072,2143
13,Total grade points 24 – 26 in the best five subjects,Percentage,5.8%,5.7%,5.7%,5.7%,5.6%,5.6%
14,Total grade points 27 – 29 in the best five subjects,Number,604,530,1134,623,554,1177
15,Total grade points 27 – 29 in the best five subjects,Percentage,3.4%,3.0%,3.2%,3.3%,2.9%,3.1%
16,Total grade points 30 – 32 in the best five subjects,Number,302,276,578,314,288,602
17,Total grade points 30 – 32 in the best five subjects,Percentage,1.7%,1.5%,1.6%,1.7%,1.5%,1.6%
18,Total grade points 33 – 35 in the best five subjects,Number,133,91,224,136,95,231
19,Total grade points 33 – 35 in the best five subjects,Percentage,0.8%,0.5%,0.6%,0.7%,0.5%,0.6%
