No.,Description,Type,"All candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development (Chinese Language, English Language, Mathematics Compulsory Part and two elective subjects) - Male","All candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development (Chinese Language, English Language, Mathematics Compulsory Part and two elective subjects) - Female","All candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development (Chinese Language, English Language, Mathematics Compulsory Part and two elective subjects) - Total","All candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development (Any five subjects#) - Male","All candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development (Any five subjects#) - Female","All candidates taking at least five Category A / B subjects with 'Attained' in Citizenship and Social Development (Any five subjects#) - Total"
1,No. of candidates,Number,18934,19065,37999,18934,19065,37999
2,Total grade points 12 – 14 in the best five subjects,Number,423,799,1222,420,790,1210
3,Total grade points 12 – 14 in the best five subjects,Percentage,2.2%,4.2%,3.2%,2.2%,4.1%,3.2%
4,Total grade points 15 – 17 in the best five subjects,Number,1855,2406,4261,1810,2363,4173
5,Total grade points 15 – 17 in the best five subjects,Percentage,9.8%,12.6%,11.2%,9.6%,12.4%,11.0%
6,Total grade points 18 – 20 in the best five subjects,Number,2431,2952,5383,2282,2866,5148
7,Total grade points 18 – 20 in the best five subjects,Percentage,12.8%,15.5%,14.2%,12.1%,15.0%,13.5%
8,Total grade points 21 – 23 in the best five subjects,Number,1809,1989,3798,1780,1991,3771
9,Total grade points 21 – 23 in the best five subjects,Percentage,9.6%,10.4%,10.0%,9.4%,10.4%,9.9%
10,Total grade points 24 – 26 in the best five subjects,Number,1058,1047,2105,1071,1072,2143
11,Total grade points 24 – 26 in the best five subjects,Percentage,5.6%,5.5%,5.5%,5.7%,5.6%,5.6%
12,Total grade points 27 – 29 in the best five subjects,Number,559,541,1100,623,554,1177
13,Total grade points 27 – 29 in the best five subjects,Percentage,3.0%,2.8%,2.9%,3.3%,2.9%,3.1%
14,Total grade points 30 – 32 in the best five subjects,Number,243,225,468,314,288,602
15,Total grade points 30 – 32 in the best five subjects,Percentage,1.3%,1.2%,1.2%,1.7%,1.5%,1.6%
16,Total grade points 33 – 35 in the best five subjects,Number,58,60,118,136,95,231
17,Total grade points 33 – 35 in the best five subjects,Percentage,0.3%,0.3%,0.3%,0.7%,0.5%,0.6%
